1,1,2,'2024-03-07 08:12:34',1,"'Hello, lets connect!'",false,false,false,NULL,'2024-04-03 12:25:02.677375',NULL,'192.168.1.100','192.168.1.101','Desktop','{}','Messenger'
2,2,3,'2024-03-07 09:23:45',1,"'Hi, would you like to be friends?'",false,false,false,NULL,'2024-04-03 12:25:02.677375',NULL,'192.168.1.101','192.168.1.102','Mobile','{}','Messenger'
3,3,4,'2024-03-07 10:34:56',1,"'Hey there, lets connect!'",false,false,false,NULL,'2024-04-03 12:25:02.677375',NULL,'192.168.1.102','192.168.1.103','Tablet','{}','Messenger'
4,4,5,'2024-03-07 11:45:12',1,"'Hello, would you like to add me?'",false,false,false,NULL,'2024-04-03 12:25:02.677375',NULL,'192.168.1.103','192.168.1.104','Desktop','{}','Messenger'
5,5,6,'2024-03-07 12:56:23',1,"'Hi, lets connect!'",false,false,false,NULL,'2024-04-03 12:25:02.677375',NULL,'192.168.1.104','192.168.1.105','Mobile','{}','Messenger'
6,6,7,'2024-03-07 13:07:34',1,"'Hey there, lets be friends!'",false,false,false,NULL,'2024-04-03 12:25:02.677375',NULL,'192.168.1.105','192.168.1.106','Tablet','{}','Messenger'
7,7,8,'2024-03-07 14:18:45',1,"'Hello, would you like to connect?'",false,false,false,NULL,'2024-04-03 12:25:02.677375',NULL,'192.168.1.106','192.168.1.107','Desktop','{}','Messenger'
8,8,9,'2024-03-07 15:29:56',1,"'Hi, lets be friends!'",false,false,false,NULL,'2024-04-03 12:25:02.677375',NULL,'192.168.1.107','192.168.1.108','Mobile','{}','Messenger'
9,9,10,'2024-03-07 16:40:12',1,"'Hey there, lets connect!'",false,false,false,NULL,'2024-04-03 12:25:02.677375',NULL,'192.168.1.108','192.168.1.109','Tablet','{}','Messenger'
10,10,11,'2024-03-07 17:51:23',1,"'Hello, would you like to add me?'",false,false,false,NULL,'2024-04-03 12:25:02.677375',NULL,'192.168.1.109','192.168.1.110','Desktop','{}','Messenger'
11,11,12,'2024-03-07 18:02:34',1,"'Hi, lets connect!'",false,false,false,NULL,'2024-04-03 12:25:02.677375',NULL,'192.168.1.110','192.168.1.111','Mobile','{}','Messenger'
12,12,13,'2024-03-07 19:13:45',1,"'Hey there, lets be friends!'",false,false,false,NULL,'2024-04-03 12:25:02.677375',NULL,'192.168.1.111','192.168.1.112','Tablet','{}','Messenger'
13,13,14,'2024-03-07 20:24:56',1,"'Hello, would you like to connect?'",false,false,false,NULL,'2024-04-03 12:25:02.677375',NULL,'192.168.1.112','192.168.1.113','Desktop','{}','Messenger'
14,14,15,'2024-03-07 21:35:12',1,"'Hi, lets be friends!'",false,false,false,NULL,'2024-04-03 12:25:02.677375',NULL,'192.168.1.113','192.168.1.114','Mobile','{}','Messenger'
15,15,16,'2024-03-07 22:46:23',1,"'Hey there, lets connect!'",false,false,false,NULL,'2024-04-03 12:25:02.677375',NULL,'192.168.1.114','192.168.1.115','Tablet','{}','Messenger'
16,16,17,'2024-03-07 23:57:34',1,"'Hello, would you like to add me?'",false,false,false,NULL,'2024-04-03 12:25:02.677375',NULL,'192.168.1.115','192.168.1.116','Desktop','{}','Messenger'
17,17,18,'2024-03-08 00:08:45',1,"'Hi, lets connect!'",false,false,false,NULL,'2024-04-03 12:25:02.677375',NULL,'192.168.1.116','192.168.1.117','Mobile','{}','Messenger'
18,18,19,'2024-03-08 01:19:56',1,"'Hey there, lets be friends!'",false,false,false,NULL,'2024-04-03 12:25:02.677375',NULL,'192.168.1.117','192.168.1.118','Tablet','{}','Messenger'
19,19,20,'2024-03-08 02:30:12',1,"'Hello, would you like to connect?'",false,false,false,NULL,'2024-04-03 12:25:02.677375',NULL,'192.168.1.118','192.168.1.119','Desktop','{}','Messenger'
20,20,1,'2024-03-08 03:41:23',1,"'Hi, lets be friends!'",false,false,false,NULL,'2024-04-03 12:25:02.677375',NULL,'192.168.1.119','192.168.1.120','Mobile','{}','Messenger'
