1,'Black Friday',10,'2016-07-29','2018-06-25'
2,'Cyber Monday',27,'2014-11-06','2019-02-13'
3,'Christmas Sale',6,'2021-09-27','2023-03-27'
4,'End of Season Sale',20,'2019-07-23','2023-12-11'
5,'New Year Clearance',17,'2021-12-08','2023-08-24'
6,'Back to School',25,'2017-08-20','2022-01-14'
7,'Summer Sale',18,'2020-12-01','2021-02-21'
8,'Spring Clearance',27,'2017-06-13','2019-01-06'
9,'Winter Wonderland',27,'2022-04-03','2023-09-01'
10,'Valentine''s Day Special',29,'2020-12-26','2022-05-14'
11,'Mother''s Day Sale',19,'2015-11-24','2021-10-26'
12,'Father''s Day Sale',12,'2018-06-01','2021-08-23'
13,'Independence Day Celebration',12,'2017-03-25','2022-07-29'
14,'Halloween Spooktacular',8,'2016-01-18','2016-05-03'
