1,NULL,'Electronics','Wide style field remember industry purpose feel.','https://dummyimage.com/404x896',true,'2017-06-02 19:15:21.671093','2022-09-04 14:21:24.380063','Category Electronics','Product bill international institution describe family.','electronics',6,16,'11/1/',6,18
2,NULL,'Clothing','Head bit listen seven stop avoid call.','https://placekitten.com/757/477',false,'2018-10-08 17:51:32.663826','2019-02-21 01:25:13.931851','Category Clothing','Particularly consumer treatment edge.','clothing',1,6,'2None1/',8,27
3,NULL,'Home & Kitchen','Challenge follow show really medical mother own.','https://placekitten.com/18/161',true,'2018-12-21 09:16:57.97839','2020-08-26 22:38:42.566195','Category Home & Kitchen','Price film carry.','home-&-kitchen',10,7,'25/4/',8,26
4,NULL,'Books','Name person whatever clearly.','https://placekitten.com/260/696',false,'2017-02-22 08:37:44.975963','2017-06-26 07:01:45.212876','Category Books','Series individual green inside law partner.','books',2,6,'4None5/',5,19
5,NULL,'Toys & Games','Class explain also indicate.','https://dummyimage.com/130x768',true,'2021-06-10 22:51:44.07225','2022-02-20 19:45:28.474464','Category Toys & Games','Particularly political great east role.','toys-&-games',4,14,'2None1/',6,25
6,NULL,'Sports & Outdoors','Vote and through sit likely right within.','https://dummyimage.com/777x394',true,'2020-11-19 12:12:25.481094','2022-09-10 07:06:31.938523','Category Sports & Outdoors','Our debate understand size.','sports-&-outdoors',9,2,'4None2/',12,4
7,NULL,'Beauty & Personal Care','Rise decade against population finally.','https://picsum.photos/996/603',false,'2021-09-28 17:13:28.885559','2022-12-12 04:01:48.902261','Category Beauty & Personal Care','Probably stay anything should culture he room.','beauty-&-personal-care',5,16,'13/1/',12,16
8,NULL,'Automotive','Right game produce reality.','https://placekitten.com/367/779',false,'2018-12-29 14:21:15.687398','2019-07-10 13:15:35.981089','Category Automotive','Economic subject loss government.','automotive',6,19,'24/1/',3,29
9,NULL,'Health & Houshold','Politics and conference place also within.','https://picsum.photos/407/380',false,'2020-03-25 19:05:10.161193','2020-07-30 02:26:46.600894','Category Health & Houshold','Kitchen but trade range situation.','health-&-houshold',8,8,'1None2/',17,23
10,NULL,'Other','A hospital issue church.','https://dummyimage.com/541x63',false,'2017-03-14 22:08:34.071433','2023-07-31 14:27:51.778352','Category Other','State beat capital growth affect.','other',4,1,'44/1/',23,15
