1,'USD/EUR',0.880000,'2024-03-06','2024-04-03 12:35:26.424514','2024-04-03 12:35:26.424514','Exchange Provider X',"'{""description"": ""Exchange rate for USD to EUR.""}'"
2,'EUR/GBP',0.750000,'2024-03-06','2024-04-03 12:35:26.424514','2024-04-03 12:35:26.424514','Exchange Provider Y',"'{""description"": ""Exchange rate for EUR to GBP.""}'"
3,'GBP/JPY',144.920000,'2024-03-06','2024-04-03 12:35:26.424514','2024-04-03 12:35:26.424514','Exchange Provider Z',"'{""description"": ""Exchange rate for GBP to JPY.""}'"
4,'JPY/AUD',0.012000,'2024-03-06','2024-04-03 12:35:26.424514','2024-04-03 12:35:26.424514','Exchange Provider X',"'{""description"": ""Exchange rate for JPY to AUD.""}'"
5,'AUD/CAD',0.930000,'2024-03-06','2024-04-03 12:35:26.424514','2024-04-03 12:35:26.424514','Exchange Provider Y',"'{""description"": ""Exchange rate for AUD to CAD.""}'"
6,'CAD/USD',0.790000,'2024-03-06','2024-04-03 12:35:26.424514','2024-04-03 12:35:26.424514','Exchange Provider Z',"'{""description"": ""Exchange rate for CAD to USD.""}'"
7,'USD/EUR',0.890000,'2024-03-07','2024-04-03 12:35:26.424514','2024-04-03 12:35:26.424514','Exchange Provider X',"'{""description"": ""Exchange rate for USD to EUR.""}'"
8,'EUR/GBP',0.740000,'2024-03-07','2024-04-03 12:35:26.424514','2024-04-03 12:35:26.424514','Exchange Provider Y',"'{""description"": ""Exchange rate for EUR to GBP.""}'"
9,'GBP/JPY',145.250000,'2024-03-07','2024-04-03 12:35:26.424514','2024-04-03 12:35:26.424514','Exchange Provider Z',"'{""description"": ""Exchange rate for GBP to JPY.""}'"
10,'JPY/AUD',0.011000,'2024-03-07','2024-04-03 12:35:26.424514','2024-04-03 12:35:26.424514','Exchange Provider X',"'{""description"": ""Exchange rate for JPY to AUD.""}'"
11,'AUD/CAD',0.920000,'2024-03-07','2024-04-03 12:35:26.424514','2024-04-03 12:35:26.424514','Exchange Provider Y',"'{""description"": ""Exchange rate for AUD to CAD.""}'"
12,'CAD/USD',0.780000,'2024-03-07','2024-04-03 12:35:26.424514','2024-04-03 12:35:26.424514','Exchange Provider Z',"'{""description"": ""Exchange rate for CAD to USD.""}'"
13,'USD/EUR',0.900000,'2024-03-08','2024-04-03 12:35:26.424514','2024-04-03 12:35:26.424514','Exchange Provider X',"'{""description"": ""Exchange rate for USD to EUR.""}'"
14,'EUR/GBP',0.730000,'2024-03-08','2024-04-03 12:35:26.424514','2024-04-03 12:35:26.424514','Exchange Provider Y',"'{""description"": ""Exchange rate for EUR to GBP.""}'"
15,'GBP/JPY',145.050000,'2024-03-08','2024-04-03 12:35:26.424514','2024-04-03 12:35:26.424514','Exchange Provider Z',"'{""description"": ""Exchange rate for GBP to JPY.""}'"
16,'JPY/AUD',0.013000,'2024-03-08','2024-04-03 12:35:26.424514','2024-04-03 12:35:26.424514','Exchange Provider X',"'{""description"": ""Exchange rate for JPY to AUD.""}'"
17,'AUD/CAD',0.910000,'2024-03-08','2024-04-03 12:35:26.424514','2024-04-03 12:35:26.424514','Exchange Provider Y',"'{""description"": ""Exchange rate for AUD to CAD.""}'"
18,'CAD/USD',0.770000,'2024-03-08','2024-04-03 12:35:26.424514','2024-04-03 12:35:26.424514','Exchange Provider Z',"'{""description"": ""Exchange rate for CAD to USD.""}'"
19,'USD/EUR',0.910000,'2024-03-09','2024-04-03 12:35:26.424514','2024-04-03 12:35:26.424514','Exchange Provider X',"'{""description"": ""Exchange rate for USD to EUR.""}'"
20,'EUR/GBP',0.720000,'2024-03-09','2024-04-03 12:35:26.424514','2024-04-03 12:35:26.424514','Exchange Provider Y',"'{""description"": ""Exchange rate for EUR to GBP.""}'"
