1,'Mortgage',250000.00,3.50,'2022-01-01','2042-01-01','Monthly','30 years fixed',"'{""property"": ""123 Main St, Anytown, USA""}'",'Regular mortgage payment',true,'2024-04-03 12:35:26.424514','2024-04-03 12:35:26.424514'
2,'Car Loan',20000.00,5.00,'2023-05-15','2028-05-15','Monthly','5 years',"'{""vehicle"": ""2022 Toyota Camry""}'",'Monthly payment for car loan',true,'2024-04-03 12:35:26.424514','2024-04-03 12:35:26.424514'
3,'Student Loan',50000.00,4.00,'2020-09-01','2030-09-01','Monthly','10 years',"'{""institution"": ""ABC University""}'",'Monthly payment for student loan',true,'2024-04-03 12:35:26.424514','2024-04-03 12:35:26.424514'
4,'Credit Card Debt',10000.00,18.00,'2022-02-01',NULL,'Monthly','Minimum payment',NULL,'Monthly payment for credit card debt',true,'2024-04-03 12:35:26.424514','2024-04-03 12:35:26.424514'
5,'Personal Loan',15000.00,7.50,'2021-11-01','2023-11-01','Biweekly','3 years',NULL,'Biweekly payment for personal loan',true,'2024-04-03 12:35:26.424514','2024-04-03 12:35:26.424514'
6,'Medical Bills',5000.00,0.00,'2021-06-15',NULL,'Monthly','As needed',NULL,'Monthly payment for medical bills',true,'2024-04-03 12:35:26.424514','2024-04-03 12:35:26.424514'
7,'Home Equity Loan',75000.00,4.25,'2020-03-01','2030-03-01','Monthly','20 years',"'{""property"": ""456 Oak St, Anytown, USA""}'",'Monthly payment for home equity loan',true,'2024-04-03 12:35:26.424514','2024-04-03 12:35:26.424514'
8,'Business Loan',100000.00,6.00,'2022-07-01','2027-07-01','Monthly','5 years',NULL,'Monthly payment for business loan',true,'2024-04-03 12:35:26.424514','2024-04-03 12:35:26.424514'
9,'Child Support',500.00,0.00,'2020-01-01',NULL,'Monthly','Until child turns 18',NULL,'Monthly payment for child support',true,'2024-04-03 12:35:26.424514','2024-04-03 12:35:26.424514'
10,'Alimony',1000.00,0.00,'2021-01-01',NULL,'Monthly','Until court order changes',NULL,'Monthly payment for alimony',true,'2024-04-03 12:35:26.424514','2024-04-03 12:35:26.424514'
11,'Insurance Premium',100.00,0.00,'2022-12-01',NULL,'Monthly','Until policy expiration',NULL,'Monthly payment for insurance premium',true,'2024-04-03 12:35:26.424514','2024-04-03 12:35:26.424514'
12,'Tax Payments',200.00,0.00,'2022-04-15',NULL,'Quarterly','Based on tax filing',NULL,'Quarterly payment for taxes',true,'2024-04-03 12:35:26.424514','2024-04-03 12:35:26.424514'
13,'Legal Fees',300.00,0.00,'2021-08-01',NULL,'Monthly','As needed',NULL,'Monthly payment for legal fees',true,'2024-04-03 12:35:26.424514','2024-04-03 12:35:26.424514'
14,'Homeowners Association Dues',150.00,0.00,'2021-01-01',NULL,'Monthly','Ongoing',NULL,'Monthly payment for HOA dues',true,'2024-04-03 12:35:26.424514','2024-04-03 12:35:26.424514'
15,'Utilities',250.00,0.00,'2022-06-01',NULL,'Monthly','Ongoing',NULL,'Monthly payment for utilities',true,'2024-04-03 12:35:26.424514','2024-04-03 12:35:26.424514'
16,'Childcare Expenses',400.00,0.00,'2020-09-01',NULL,'Monthly','As needed',NULL,'Monthly payment for childcare',true,'2024-04-03 12:35:26.424514','2024-04-03 12:35:26.424514'
17,'Home Maintenance',300.00,0.00,'2021-03-01',NULL,'Monthly','As needed',NULL,'Monthly payment for home maintenance',true,'2024-04-03 12:35:26.424514','2024-04-03 12:35:26.424514'
18,'Auto Insurance',120.00,0.00,'2021-10-01',NULL,'Monthly','Ongoing',NULL,'Monthly payment for auto insurance',true,'2024-04-03 12:35:26.424514','2024-04-03 12:35:26.424514'
19,'Health Insurance Premium',300.00,0.00,'2022-02-01',NULL,'Monthly','Ongoing',NULL,'Monthly payment for health insurance premium',true,'2024-04-03 12:35:26.424514','2024-04-03 12:35:26.424514'
20,'Retirement Savings',500.00,0.00,'2020-01-01',NULL,'Monthly','Ongoing',NULL,'Monthly contribution to retirement savings',true,'2024-04-03 12:35:26.424514','2024-04-03 12:35:26.424514'
