1,'Human Resources',3536251,100000.00,'2023-01-01',NULL,true,"'{""goal1"": ""Recruit top talent"", ""goal2"": ""Employee development""}'","'{""achievement1"": ""Increased employee satisfaction by 20%"", ""achievement2"": ""Reduced turnover rate by 15%""}'",1
2,'Marketing',3536252,150000.00,'2023-01-01',NULL,true,"'{""goal1"": ""Increase brand awareness"", ""goal2"": ""Improve lead generation""}'","'{""achievement1"": ""Launched successful social media campaign"", ""achievement2"": ""Increased website traffic by 25%""}'",1
3,'Finance',3536253,200000.00,'2023-01-01',NULL,true,"'{""goal1"": ""Optimize financial processes"", ""goal2"": ""Ensure regulatory compliance""}'","'{""achievement1"": ""Implemented new accounting software"", ""achievement2"": ""Passed external audit with no issues""}'",1
4,'Sales',3536254,180000.00,'2023-01-01',NULL,true,"'{""goal1"": ""Increase sales revenue"", ""goal2"": ""Expand customer base""}'","'{""achievement1"": ""Exceeded quarterly sales targets"", ""achievement2"": ""Acquired 10 new clients""}'",1
5,'IT',3536255,220000.00,'2023-01-01',NULL,true,"'{""goal1"": ""Enhance cybersecurity measures"", ""goal2"": ""Improve system reliability""}'","'{""achievement1"": ""Implemented multi-factor authentication system"", ""achievement2"": ""Reduced system downtime by 30%""}'",1
6,'Operations',3536256,160000.00,'2023-01-01',NULL,true,"'{""goal1"": ""Streamline processes"", ""goal2"": ""Improve efficiency""}'","'{""achievement1"": ""Reduced production costs by 10%"", ""achievement2"": ""Implemented lean management practices""}'",1
7,'Customer Service',3536257,120000.00,'2023-01-01',NULL,true,"'{""goal1"": ""Enhance customer satisfaction"", ""goal2"": ""Reduce response time""}'","'{""achievement1"": ""Increased customer satisfaction score to 90%"", ""achievement2"": ""Reduced average response time to under 1 hour""}'",1
8,'Research and Development',3536258,250000.00,'2023-01-01',NULL,true,"'{""goal1"": ""Innovate new products"", ""goal2"": ""Improve existing products""}'","'{""achievement1"": ""Launched successful new product line"", ""achievement2"": ""Received patent for innovative technology""}'",1
9,'Quality Assurance',3536259,130000.00,'2023-01-01',NULL,true,"'{""goal1"": ""Ensure product quality"", ""goal2"": ""Maintain regulatory compliance""}'","'{""achievement1"": ""Maintained defect rate below 1%"", ""achievement2"": ""Passed ISO 9001 certification""}'",1
10,'Legal',3536260,190000.00,'2023-01-01',NULL,true,"'{""goal1"": ""Provide legal support"", ""goal2"": ""Ensure legal compliance""}'","'{""achievement1"": ""Won major lawsuit"", ""achievement2"": ""Drafted successful contracts""}'",1
11,'Administration',3536261,120000.00,'2023-01-01',NULL,true,"'{""goal1"": ""Optimize administrative processes"", ""goal2"": ""Ensure compliance""}'","'{""achievement1"": ""Implemented new document management system"", ""achievement2"": ""Streamlined approval processes""}'",1
12,'Production',3536262,300000.00,'2023-01-01',NULL,true,"'{""goal1"": ""Increase production efficiency"", ""goal2"": ""Maintain quality standards""}'","'{""achievement1"": ""Implemented automated assembly line"", ""achievement2"": ""Achieved ISO 9001 certification""}'",1
13,'Supply Chain',3536263,180000.00,'2023-01-01',NULL,true,"'{""goal1"": ""Optimize supply chain operations"", ""goal2"": ""Reduce costs""}'","'{""achievement1"": ""Implemented vendor management system"", ""achievement2"": ""Reduced inventory holding costs by 20%""}'",1
14,'Training and Development',3536264,100000.00,'2023-01-01',NULL,true,"'{""goal1"": ""Provide training programs"", ""goal2"": ""Develop employee skills""}'","'{""achievement1"": ""Launched leadership development program"", ""achievement2"": ""Increased employee retention""}'",1
15,'Safety and Compliance',3536265,150000.00,'2023-01-01',NULL,true,"'{""goal1"": ""Ensure workplace safety"", ""goal2"": ""Compliance with regulations""}'","'{""achievement1"": ""Reduced workplace accidents by 25%"", ""achievement2"": ""Passed safety inspection with no violations""}'",1
16,'Customer Success',3536266,170000.00,'2023-01-01',NULL,true,"'{""goal1"": ""Enhance customer satisfaction"", ""goal2"": ""Increase retention""}'","'{""achievement1"": ""Implemented customer loyalty program"", ""achievement2"": ""Improved customer satisfaction score by 15%""}'",1
17,'Engineering',3536267,280000.00,'2023-01-01',NULL,true,"'{""goal1"": ""Develop innovative solutions"", ""goal2"": ""Meet project deadlines""}'","'{""achievement1"": ""Developed new product prototype"", ""achievement2"": ""Completed project ahead of schedule""}'",1
18,'Logistics',3536268,200000.00,'2023-01-01',NULL,true,"'{""goal1"": ""Optimize logistics operations"", ""goal2"": ""Reduce shipping costs""}'","'{""achievement1"": ""Implemented route optimization software"", ""achievement2"": ""Reduced shipping lead times""}'",1
19,'Public Relations',3536269,130000.00,'2023-01-01',NULL,true,"'{""goal1"": ""Enhance brand reputation"", ""goal2"": ""Manage media relations""}'","'{""achievement1"": ""Secured media coverage in top publications"", ""achievement2"": ""Increased social media engagement by 50%""}'",1
20,'Product Management',3536270,160000.00,'2023-01-01',NULL,true,"'{""goal1"": ""Develop product roadmap"", ""goal2"": ""Launch new features""}'","'{""achievement1"": ""Developed product strategy for next year"", ""achievement2"": ""Launched successful product update""}'",1
