1,3536251,'2020-01-01','2021-06-30',1,1
2,3536251,'2021-07-01','2022-12-31',3,2
3,3536252,'2019-05-15','2020-11-30',2,3
4,3536253,'2020-03-20','2022-09-30',4,1
5,3536254,'2018-11-10','2020-07-15',5,4
6,3536255,'2019-09-25','2021-04-30',3,2
7,3536256,'2020-07-03','2022-01-10',1,1
8,3536257,'2017-04-18','2019-10-22',2,3
9,3536258,'2018-02-14','2020-08-31',4,1
10,3536259,'2021-08-30','2023-03-15',3,2
11,3536260,'2019-11-05','2021-05-20',5,4
12,3536261,'2020-07-01','2022-01-05',1,1
13,3536262,'2018-04-25','2020-10-30',2,3
14,3536263,'2020-05-29','2022-01-03',4,1
15,3536264,'2017-06-30','2019-12-15',5,4
16,3536265,'2019-07-31','2021-02-28',3,2
17,3536266,'2020-08-25','2022-03-01',1,1
18,3536267,'2017-09-29','2019-04-05',2,3
19,3536268,'2018-10-30','2020-05-05',4,1
20,3536269,'2021-11-25','2023-06-30',3,2
