table_name,checksum
tbl_tags,24168a0c783f311937032e6d661ee06c
tbl_private_messages,4b2610de65c06777afef24a97681e57a
tbl_followers,42b7ae392add0acdf82f91609a14f89f
tbl_tags_hierarchy,c8ffa21126a2274cfe61e1d08c667aed
tbl_country,7fd85627f6b86d0094ab1688f89d872e
tbl_attachments,c2108b82ecc1dff308efeb8faf88a4f2
foreign_keys,7dff6c0c3198a3295a009f675328cbb4
tbl_users,6091d8c39df81ad4657afaabca7269ba
tables,d53bffa66631c4a42c395f106ef39690
primary_keys,db2b3a5cec8fa8addbd9544cd0ced046
indexes,1a164b3dfe0331a78f2180c5d5b4ed13
tbl_media,3fda82427c87b4319e2381038d2ecfbf
tbl_posts_tags,83999a0f92c560da791d371aa501c08e
tbl_comments,f7fdb9ce007e56dd02b2fe3913209c1f
tbl_categories_hierarchy,
tbl_categories,36880cb1995c1a7dcfc90e5bf06030e2
tbl_reactions,3aeef242f71a1a21b5eb2f3f0cc8d08a
tbl_labels,faf8b088a70cc1983b221ec54291b443
tbl_notifications,7a8767ca807a1ea60e3fdc65ee329689
tbl_status,44eb9a7563dd434927a7160403557f75
tbl_user_roles,943fd09ca26d1bc68ba61dbcbc0beb0b
tbl_posts,8de7d6a6bbe43125e585652c631adfce
tbl_reports,90d3dcd5e3dcd62c5b2ed2e307630ee0
tbl_user_activity,535c6e990897437084d8ffeee1f0a0dd
columns,d59a48ca4475f65f2ff7dbc1068fcdf0
