table_name,checksum
tbl_attachments,243cb0219103311fa20c3aba9158166c
tbl_categories,a0e343b767385a3402575dbbe6e1cc50
tbl_categories_hierarchy,
tbl_comments,15cc9aed5b75a6617455f3a4b3f2fae5
tbl_country,3a49c9d4d525df608d50bfce2a0ec85d
tbl_followers,16284c1d57b171097f625dcdf0037ed4
tbl_labels,e501c26833a28390621b7c9477f3b939
tbl_media,e2f7965a312eb818785a50eef363be0a
tbl_notifications,16500852d605eaf1e06db4e35e348a94
tbl_posts,46c6443f3add5b7834d8167b0536927d
tbl_posts_tags,6b1f329a7c9fdeedd78e196ffafde2e3
tbl_private_messages,0ab54e618dbf1f0882e05d02dd3d549d
tbl_reactions,99e7f3903b835f81afb7ec597461e0b8
tbl_reports,4a4d64c534175ac35fb73d1758cf3ba0
tbl_status,567a00f7880d4e41f96a1b60e84c6d19
tbl_tags,6615a90d0958b01e6d1e42e7ba0cffd2
tbl_tags_hierarchy,edc65f64cdb2de05361142b09c83798f
tbl_user_activity,5252d99ed415e2bf63130d1c5ac973b4
tbl_user_roles,94d2a82ee0a29ddd763543a87085f57b
tbl_users,046c7632c69b325a93e877c8eb8e7588
tables,451f51c540db4a4c458406c9af47d406
columns,7808f96af2d3758b0a4793738c77440b
primary_keys,63144902ff1068119504387a7e250744
foreign_keys,95520994a7e56f722b53a691c2616fef
indexes,19ce71c28fe90a308fc75dd929c279e4
