table_name,checksum
tbl_conversation_labels,c649163f654b6dd1d4cdfe89bfb26b73
tbl_friend_requests,0224019bfef4a17baebe28fc2c2bf6fa
tbl_user_connections,c9d396a4e762880c7a9a6e38b87a1f7b
tbl_users_groups,d0da0798f415228b1e10fe17a672f5e2
tbl_participants,3a5e5c83db38a83c4bff96352074a50d
tbl_user_activity_logs,fd04be2797f39f378ebed0e95e71cc85
indexes,439273febebd8adc7c631640bdf172ee
tbl_sessions,d2a89060a302bc15bc6a0d5217400c36
tbl_user_roles,35491ff6dcb28d3beae5a78b7d4f8417
tbl_permissions,218370e3571a73426b6c56098a43342a
tbl_conversation_invitations,528d1cf14148e68b709f6055a71330a3
tbl_message_types,e509f24b8eacedbd974d907d13657c65
tbl_status,dda8709a476313c003efa6bb6e88771e
tbl_conversations_history,fe57e5567046a1167cd3519e09d62c64
tbl_messages,5621d598a5812c055118cfc8681a5549
tbl_conversations,c2e85077142f15909550fe4415fe6720
tbl_notifications,95403216aa02630ee8a2d6338c7a9359
tbl_user_blocks,0850db6c223130e148066291ffefc1bd
tbl_user_statistics,b972289bcd05a1eeb33aa9204516e4df
tbl_users,765d604d62d26e0bf7c76bc56f113adc
tbl_attachments,74848d57f7aa6e6f30b66510c5844eb2
tbl_blocked_keywords,6845cb25e93bddfdb7647f6415361752
foreign_keys,96648b7470be442c5450886eca4a6a56
tbl_message_reports,29b813349c5284a3d8fe36fd163f1196
tbl_message_reactions,0434963f28293177be954f7e5d2b8a4c
columns,366149a239c5d23f4bff42bbae5d8e49
tbl_message_tags,5782cf088aae8d17e8ec351d894e98e3
tbl_countries,40a24b64eaca1341e26129774c584d54
tables,2aa6cc6a306965c7c93e4d752e98c9d1
tbl_message_status,17febba734fccad24a428a43812227ab
tbl_user_preferences,d092662da488c8f76abbe6190b79877e
primary_keys,553ad958775c9168fd462aa1d412ae17
tbl_conversation_settings,8a04453d4884d4b052bade5d74114f32
