table_name,checksum
tbl_attachments,a8711c2a61bc7290281d44d9269055f6
tbl_blocked_keywords,95119b29635107d8980cbda703339a48
tbl_conversation_invitations,ef8f116ca9de4926d3c07929c161bcb1
tbl_conversation_labels,c95c3c654f2b79f162a47102f6398008
tbl_conversation_settings,27b58f0974852e7bf6f5f665dd371fc7
tbl_conversations,eae6c1d295f8429e497620d2c5b6020d
tbl_conversations_history,e386ccfc82b486846f9731f4fd95adcd
tbl_countries,d1dd29876907b8f2034df6b3d02eb726
tbl_friend_requests,630d6af58f2093d83e16a0cd007951d3
tbl_message_reactions,e5ca84e1a5c8a4f08ea0931eec1c8af3
tbl_message_reports,2fd07672452910d9c3af6b4c18cff6d7
tbl_message_status,1e47fa36f73295af46611f90d381f4a4
tbl_message_tags,910fec955fa7dfc7e2077843387ba72a
tbl_message_types,0812809af8100b8fb6f7bba7e25d888f
tbl_messages,068675cfdf0ca36ed8c5b3607a8a2b55
tbl_notifications,1d8e11e1141e1a1b186c689a72d110a5
tbl_participants,a4ee50cb65218442eaee9c377c95eef4
tbl_permissions,bcf2fe5190b920fdc8b9678954f372bf
tbl_sessions,7730f515cb23fdc5763db3ed7f28a5d0
tbl_status,4d47150a151c190a6ca8022a8192667e
tbl_user_activity_logs,c643ef369f204ef8cf18d7b1f6909b22
tbl_user_blocks,134b6f355b26647da2a0b98b5bb050fb
tbl_user_connections,69f9a4aa5e96c15c6599a1fb16bdde24
tbl_user_preferences,18d131c429c26ffed0380d9ef32de00f
tbl_user_roles,626a5702021a55980a20e068edbdbeb1
tbl_user_statistics,17fff8626575f7e1ce0f6677a7424df8
tbl_users,86f7cb8bcd9250176f75b0774c073db8
tbl_users_groups,4aebc4d3493588e4dd6266fbabce3919
tables,ac048ae0a470e16f7ed027f7ec1e43d3
columns,396ca69db4195df45a4fb2c0c0bc6fe7
primary_keys,b9c037db693ce467fc947e10f9df4b42
foreign_keys,ea7772dd5b9a0119a083ac547e41c8e5
indexes,30a0e521a28abd43567dfccf59930ee0
