table_name,checksum
tbl_addresses,e068199f653f9d81176a55db78d45a20
tbl_brands,be18cf09fe38686031ce1f65bf7d7d6e
tbl_campaigns,71d02101b79bc0217b4e438b85da42c6
tbl_cart,f848277f550b9d374ada880b524215cf
tbl_categories,9831f1f057a78d1b66a6a1776b6ecd01
tbl_coupons,05a1815a43b70e2fadcfcfa0b29c3251
tbl_logs,c4a2e9b8823798b15e7bbba6cc95539b
tbl_messages,85c1b51d7491d32b5fb653ca457f9c3c
tbl_notifications,32f37efdbb4b947b264577968b3a8a52
tbl_order_items,aac02d24597835f3aaaf1fb77bf7a599
tbl_orders,2c825e8d3d05a790a65ffd0bfc21a375
tbl_payments,d451079cc1188719632474b502e13f8f
tbl_permissions,be0d02c0c1910d87d77bd08db2747ed5
tbl_product_images,14125eca31c58432843655b802ebafc4
tbl_products,71f49f4ba7d54291c3b74969d56b4cdf
tbl_refunds,f28dd8ba9248190ef58cbeda6a860f9e
tbl_return_requests,588d2d484a462877a7f10aa301bb682f
tbl_reviews,611cc1bc6478bf24bddeb92c4ffbc06b
tbl_role_assignments,a6de8d8fcc654a069f63e63a2b0ddbf0
tbl_roles,c2d772961d45cbb991c24be82f4ad81c
tbl_seller,031cb69aaa210ddf6a0a989a04778986
tbl_settings,739a6e14c88ec3f45a752e049466f78c
tbl_shipping,f276ed5c29db9d8bac50d38e94014014
tbl_users,df01138f1ec32b18e48e04f21735c895
tbl_wishlist,3535a17b94449c8be478b20de7cfce06
tables,acd164fb7f806239be9e4255fe9b8fdf
columns,43aed9600dc9d2e2850a3aee989254f7
primary_keys,e562552406cd3bcd59e79dbbb0fee5c1
foreign_keys,47187344a4e36b0a4220ace4e7ab000d
indexes,3635bb908928dac1a3f375fbaf6b9c29
