table_name,checksum
tbl_addresses,f5d8fbbaacac719b42610583ebc5fb5b
tbl_brands,2fef6b5e6352862c69bde49f4017fed2
tbl_campaigns,a528ee142a23669bbcb0e4333fe7dcd7
tbl_cart,72086eb95aacf72cbd1230e82e9ba3e3
tbl_categories,4eff0fb6081e13abe1ad4fd1946f60e5
tbl_coupons,28bb34b9524dbadb8717a842bb87898f
tbl_logs,8e554f71cc48243ed7564992c5120ec5
tbl_messages,cc415654cff26632f8f775fc42685c9c
tbl_notifications,3afec37ecfa50dc109dc1953f7ed4e88
tbl_order_items,68f1a880c0c5ecc3a9bd445724143f9a
tbl_orders,01075c0f2b0dd5419cd27e90e8346534
tbl_payments,f6bbc49e0b814e96a037d9deee94d91a
tbl_permissions,ddc889c1a0cb7d787f0a42d72f985ece
tbl_product_images,84ca7f7edd06303c7cb93d56535fd050
tbl_products,aee6ce421643a29546c29f3f71a05c14
tbl_refunds,cebbedac826db52d8ae4dd36a5dd1393
tbl_return_requests,5b9ce23b0274159486fbc04716b92cac
tbl_reviews,63c6d195811f50b30265855d2cc652f6
tbl_role_assignments,4975e4a15de73df0a19039d80870604e
tbl_roles,f7cc60006245a5b442d868d3ed08b2e1
tbl_seller,c3756c39cf5b4a3cd462f4780d2542dd
tbl_settings,d25feb497e590f6e10ab32911bb09fbd
tbl_shipping,7e4a010cc70decb182bb6baa3ceea68a
tbl_users,53dd3e47e8fc56f22fc8f2acc7261d75
tbl_wishlist,0332cc9869251215e939fc9e5079cca0
tables,acd164fb7f806239be9e4255fe9b8fdf
columns,9c939db8ee0a50131770dca1856677e8
primary_keys,1def2b2f19b3a83a5acc02774de5d27c
foreign_keys,7edd56caf96c89a85349ec1b755e64d9
indexes,6905706565128446ab915348202116e9
