table_name,checksum
tbl_income,c57d48eb8d390ee6965d48d171c059c7
columns,d27502101bf499c2a5d9ead2eccbc502
tbl_login,6429720f652308fdbe74b0503ff1d4bd
indexes,b4a5cf3828dd31276855dbe03757ac39
tbl_wallet,5a561b1591ec80255d1269959a4b2406
primary_keys,a2bb3ac3e25d007aaaa814d0809b4941
tbl_currency_exchange,bfae19cefdd2d4d5ed09cc87ac5c709f
tbl_user,afab95011a0579118f93200a66d64533
tbl_agent,3140b85b5e9bb540e9602752040a87f8
tbl_currency_exchange_x_user,c069428e9b64510ba11ae6145d0e0796
tables,4d4eda95fc44c72154e0b4363fbb136a
tbl_liabilities,447c4a4f7de39efa02fd2066595908d0
tbl_expenses,91f6e259b03ea7835aab5f8a15246eef
tbl_comm_funds_x_user,633082ef69b4f449834485c208b114df
tbl_liability,4f1d08a7d39d6edfb35f4b2704eb4e09
foreign_keys,00f106e120f808ba11df4b9c391a3cf1
tbl_user_settings,d6652700b1022d023dbcbbcc83af8bc2
tbl_comm_funds,93a54854c5982bcbcc0ab153365ca034
tbl_watchlist,e7157cd7d5b93b4d72e7d01017b6715b
tbl_currency,1eb6198c72c6d5d02bb26920377777df
tbl_transaction_history,b9a8293c8512fe2cbbe91f7fbc2d8c49
tbl_bank,7a278a1a46cee587547d04444e95c1c1
tbl_payment_method,cd6b1d49266f3e65813ebf5c47ac1bfb
tbl_assets,017838bf309e681fe5db6a6aa7af1542
tbl_agent_user_association,45d149b28040f9bf76ab3d9d591962f6
tbl_reports,e82b7f084108d0f0f042e494eef1d5c1
