1,1,1,'2024-03-07 08:12:34','2024-03-07 08:12:34','Public','Medium',"'{""email"": true, ""push"": false}'","'{""roles"": [""admin"", ""moderator""]}'",100,30,true,false,"'{""block_list"": [2, 3, 4]}'","'{""allowed_attachments"": [""image/jpeg"", ""image/png""]}'","'{""mute_settings"": [5, 6, 7]}'","'{""notes"": ""Custom metadata for conversation 1""}'"
2,2,2,'2024-03-07 09:23:45','2024-03-07 09:23:45','Private','High',"'{""email"": true, ""push"": true}'","'{""roles"": [""member""]}'",150,45,true,true,"'{""block_list"": [1, 3, 5]}'","'{""allowed_attachments"": [""image/gif"", ""video/mp4""]}'","'{""mute_settings"": [7, 8, 9]}'","'{""notes"": ""Custom metadata for conversation 2""}'"
3,3,3,'2024-03-07 10:34:56','2024-03-07 10:34:56','Public','Low',"'{""email"": false, ""push"": true}'","'{""roles"": [""member""]}'",200,60,false,false,"'{""block_list"": [4, 5, 6]}'","'{""allowed_attachments"": [""application/pdf"", ""application/docx""]}'","'{""mute_settings"": [1, 2, 3]}'","'{""notes"": ""Custom metadata for conversation 3""}'"
4,4,4,'2024-03-07 11:45:12','2024-03-07 11:45:12','Public','High',"'{""email"": true, ""push"": true}'","'{""roles"": [""admin"", ""moderator""]}'",250,75,false,true,"'{""block_list"": [3, 7, 8]}'","'{""allowed_attachments"": [""application/zip"", ""text/plain""]}'","'{""mute_settings"": [4, 5, 6]}'","'{""notes"": ""Custom metadata for conversation 4""}'"
5,5,5,'2024-03-07 12:56:23','2024-03-07 12:56:23','Private','Low',"'{""email"": false, ""push"": false}'","'{""roles"": [""member""]}'",300,90,true,false,"'{""block_list"": [1, 2, 10]}'","'{""allowed_attachments"": [""image/jpeg"", ""image/png""]}'","'{""mute_settings"": [8, 9, 10]}'","'{""notes"": ""Custom metadata for conversation 5""}'"
6,6,6,'2024-03-07 13:07:34','2024-03-07 13:07:34','Public','Medium',"'{""email"": true, ""push"": true}'","'{""roles"": [""admin"", ""moderator""]}'",350,105,true,true,"'{""block_list"": [9, 10]}'","'{""allowed_attachments"": [""audio/mpeg"", ""audio/wav""]}'","'{""mute_settings"": [1, 2]}'","'{""notes"": ""Custom metadata for conversation 6""}'"
7,7,7,'2024-03-07 14:18:45','2024-03-07 14:18:45','Private','High',"'{""email"": false, ""push"": true}'","'{""roles"": [""member""]}'",400,120,false,false,"'{""block_list"": [5, 6, 7]}'","'{""allowed_attachments"": [""application/xls"", ""application/doc""]}'","'{""mute_settings"": [3, 4, 5]}'","'{""notes"": ""Custom metadata for conversation 7""}'"
8,8,8,'2024-03-07 15:29:56','2024-03-07 15:29:56','Public','Low',"'{""email"": true, ""push"": false}'","'{""roles"": [""member""]}'",450,135,false,true,"'{""block_list"": [2, 4, 8]}'","'{""allowed_attachments"": [""video/mp4"", ""video/avi""]}'","'{""mute_settings"": [6, 7, 8]}'","'{""notes"": ""Custom metadata for conversation 8""}'"
9,9,9,'2024-03-07 16:40:12','2024-03-07 16:40:12','Public','High',"'{""email"": false, ""push"": true}'","'{""roles"": [""admin"", ""moderator""]}'",500,150,true,false,"'{""block_list"": [1, 3, 9]}'","'{""allowed_attachments"": [""application/png"", ""application/jpeg""]}'","'{""mute_settings"": [9, 10]}'","'{""notes"": ""Custom metadata for conversation 9""}'"
10,10,10,'2024-03-07 17:51:23','2024-03-07 17:51:23','Private','Medium',"'{""email"": true, ""push"": true}'","'{""roles"": [""member""]}'",550,165,true,true,"'{""block_list"": [4, 5, 7]}'","'{""allowed_attachments"": [""video/mpeg"", ""video/mp4""]}'","'{""mute_settings"": [1, 8, 10]}'","'{""notes"": ""Custom metadata for conversation 10""}'"
