1,1,1,'like','2024-04-03 12:25:02.677375',1,'Liked the message.',true,1,'192.168.0.1','Desktop',"'{""key1"": ""value1""}'",false,'2024-04-03 12:25:02.677375','2024-04-03 12:25:02.677375',"'{""history1"": ""revision1""}'"
2,1,2,'love','2024-04-03 12:25:02.677375',1,'Loved the message.',false,1,'192.168.0.2','Mobile',"'{""key2"": ""value2""}'",true,'2024-04-03 12:25:02.677375','2024-04-03 12:25:02.677375',"'{""history2"": ""revision2""}'"
3,2,3,'like','2024-04-03 12:25:02.677375',1,'Liked the message.',true,1,'192.168.0.3','Tablet',"'{""key3"": ""value3""}'",false,'2024-04-03 12:25:02.677375','2024-04-03 12:25:02.677375',"'{""history3"": ""revision3""}'"
4,2,4,'love','2024-04-03 12:25:02.677375',1,'Loved the message.',true,1,'192.168.0.4','Mobile',"'{""key4"": ""value4""}'",false,'2024-04-03 12:25:02.677375','2024-04-03 12:25:02.677375',"'{""history4"": ""revision4""}'"
5,3,5,'like','2024-04-03 12:25:02.677375',1,'Liked the message.',false,1,'192.168.0.5','Desktop',"'{""key5"": ""value5""}'",true,'2024-04-03 12:25:02.677375','2024-04-03 12:25:02.677375',"'{""history5"": ""revision5""}'"
6,3,6,'love','2024-04-03 12:25:02.677375',1,'Loved the message.',true,1,'192.168.0.6','Mobile',"'{""key6"": ""value6""}'",false,'2024-04-03 12:25:02.677375','2024-04-03 12:25:02.677375',"'{""history6"": ""revision6""}'"
7,4,7,'like','2024-04-03 12:25:02.677375',1,'Liked the message.',true,1,'192.168.0.7','Desktop',"'{""key7"": ""value7""}'",false,'2024-04-03 12:25:02.677375','2024-04-03 12:25:02.677375',"'{""history7"": ""revision7""}'"
8,4,8,'love','2024-04-03 12:25:02.677375',1,'Loved the message.',false,1,'192.168.0.8','Mobile',"'{""key8"": ""value8""}'",true,'2024-04-03 12:25:02.677375','2024-04-03 12:25:02.677375',"'{""history8"": ""revision8""}'"
9,5,9,'like','2024-04-03 12:25:02.677375',1,'Liked the message.',true,1,'192.168.0.9','Desktop',"'{""key9"": ""value9""}'",false,'2024-04-03 12:25:02.677375','2024-04-03 12:25:02.677375',"'{""history9"": ""revision9""}'"
10,5,10,'love','2024-04-03 12:25:02.677375',1,'Loved the message.',true,1,'192.168.0.10','Mobile',"'{""key10"": ""value10""}'",false,'2024-04-03 12:25:02.677375','2024-04-03 12:25:02.677375',"'{""history10"": ""revision10""}'"
11,6,1,'like','2024-04-03 12:25:02.677375',1,'Liked the message.',false,1,'192.168.0.1','Desktop',"'{""key11"": ""value11""}'",false,'2024-04-03 12:25:02.677375','2024-04-03 12:25:02.677375',"'{""history11"": ""revision11""}'"
12,6,2,'love','2024-04-03 12:25:02.677375',1,'Loved the message.',true,1,'192.168.0.2','Mobile',"'{""key12"": ""value12""}'",true,'2024-04-03 12:25:02.677375','2024-04-03 12:25:02.677375',"'{""history12"": ""revision12""}'"
13,7,3,'like','2024-04-03 12:25:02.677375',1,'Liked the message.',true,1,'192.168.0.3','Tablet',"'{""key13"": ""value13""}'",true,'2024-04-03 12:25:02.677375','2024-04-03 12:25:02.677375',"'{""history13"": ""revision13""}'"
14,7,4,'love','2024-04-03 12:25:02.677375',1,'Loved the message.',false,1,'192.168.0.4','Mobile',"'{""key14"": ""value14""}'",false,'2024-04-03 12:25:02.677375','2024-04-03 12:25:02.677375',"'{""history14"": ""revision14""}'"
15,8,5,'like','2024-04-03 12:25:02.677375',1,'Liked the message.',true,1,'192.168.0.5','Desktop',"'{""key15"": ""value15""}'",false,'2024-04-03 12:25:02.677375','2024-04-03 12:25:02.677375',"'{""history15"": ""revision15""}'"
16,8,6,'love','2024-04-03 12:25:02.677375',1,'Loved the message.',false,1,'192.168.0.6','Mobile',"'{""key16"": ""value16""}'",true,'2024-04-03 12:25:02.677375','2024-04-03 12:25:02.677375',"'{""history16"": ""revision16""}'"
17,9,7,'like','2024-04-03 12:25:02.677375',1,'Liked the message.',true,1,'192.168.0.7','Desktop',"'{""key17"": ""value17""}'",false,'2024-04-03 12:25:02.677375','2024-04-03 12:25:02.677375',"'{""history17"": ""revision17""}'"
18,9,8,'love','2024-04-03 12:25:02.677375',1,'Loved the message.',true,1,'192.168.0.8','Mobile',"'{""key18"": ""value18""}'",false,'2024-04-03 12:25:02.677375','2024-04-03 12:25:02.677375',"'{""history18"": ""revision18""}'"
19,10,9,'like','2024-04-03 12:25:02.677375',1,'Liked the message.',true,1,'192.168.0.9','Desktop',"'{""key19"": ""value19""}'",true,'2024-04-03 12:25:02.677375','2024-04-03 12:25:02.677375',"'{""history19"": ""revision19""}'"
20,10,10,'love','2024-04-03 12:25:02.677375',1,'Loved the message.',true,1,'192.168.0.10','Mobile',"'{""key20"": ""value20""}'",true,'2024-04-03 12:25:02.677375','2024-04-03 12:25:02.677375',"'{""history20"": ""revision20""}'"
