1,1,'session_token_1','device_id_1','2024-03-06 08:00:00','2024-03-06 10:00:00',7200,'192.168.0.1','Mozilla/5.0',"'New York, USA'",true,true,false,'2024-03-06 10:00:00',200,NULL,'2024-04-03 12:25:02.677375'
2,2,'session_token_2','device_id_2','2024-03-06 09:00:00','2024-03-06 11:00:00',7200,'192.168.0.2','Chrome/80.0',"'Los Angeles, USA'",true,true,false,'2024-03-06 11:00:00',150,NULL,'2024-04-03 12:25:02.677375'
3,3,'session_token_3','device_id_3','2024-03-06 10:00:00','2024-03-06 12:00:00',7200,'192.168.0.3','Safari/13.0',"'London, UK'",true,true,false,'2024-03-06 12:00:00',180,NULL,'2024-04-03 12:25:02.677375'
4,4,'session_token_4','device_id_4','2024-03-06 11:00:00','2024-03-06 13:00:00',7200,'192.168.0.4','Firefox/74.0',"'Paris, France'",true,true,false,'2024-03-06 13:00:00',220,NULL,'2024-04-03 12:25:02.677375'
5,5,'session_token_5','device_id_5','2024-03-06 12:00:00','2024-03-06 14:00:00',7200,'192.168.0.5','Opera/67.0',"'Tokyo, Japan'",true,true,false,'2024-03-06 14:00:00',250,NULL,'2024-04-03 12:25:02.677375'
6,6,'session_token_6','device_id_6','2024-03-06 13:00:00','2024-03-06 15:00:00',7200,'192.168.0.6','Edge/80.0',"'Sydney, Australia'",true,true,false,'2024-03-06 15:00:00',180,NULL,'2024-04-03 12:25:02.677375'
7,7,'session_token_7','device_id_7','2024-03-06 14:00:00','2024-03-06 16:00:00',7200,'192.168.0.7','Mozilla/5.0',"'Toronto, Canada'",true,true,false,'2024-03-06 16:00:00',230,NULL,'2024-04-03 12:25:02.677375'
8,8,'session_token_8','device_id_8','2024-03-06 15:00:00','2024-03-06 17:00:00',7200,'192.168.0.8','Chrome/80.0',"'Berlin, Germany'",true,true,false,'2024-03-06 17:00:00',200,NULL,'2024-04-03 12:25:02.677375'
9,9,'session_token_9','device_id_9','2024-03-06 16:00:00','2024-03-06 18:00:00',7200,'192.168.0.9','Safari/13.0',"'Beijing, China'",true,true,false,'2024-03-06 18:00:00',180,NULL,'2024-04-03 12:25:02.677375'
10,10,'session_token_10','device_id_10','2024-03-06 17:00:00','2024-03-06 19:00:00',7200,'192.168.0.10','Firefox/74.0',"'Moscow, Russia'",true,true,false,'2024-03-06 19:00:00',220,NULL,'2024-04-03 12:25:02.677375'
11,11,'session_token_11','device_id_11','2024-03-06 18:00:00','2024-03-06 20:00:00',7200,'192.168.0.11','Opera/67.0',"'Seoul, South Korea'",true,true,false,'2024-03-06 20:00:00',250,NULL,'2024-04-03 12:25:02.677375'
12,12,'session_token_12','device_id_12','2024-03-06 19:00:00','2024-03-06 21:00:00',7200,'192.168.0.12','Edge/80.0',"'Mexico City, Mexico'",true,true,false,'2024-03-06 21:00:00',180,NULL,'2024-04-03 12:25:02.677375'
13,13,'session_token_13','device_id_13','2024-03-06 20:00:00','2024-03-06 22:00:00',7200,'192.168.0.13','Mozilla/5.0',"'Cairo, Egypt'",true,true,false,'2024-03-06 22:00:00',230,NULL,'2024-04-03 12:25:02.677375'
14,14,'session_token_14','device_id_14','2024-03-06 21:00:00','2024-03-06 23:00:00',7200,'192.168.0.14','Chrome/80.0',"'Bangkok, Thailand'",true,true,false,'2024-03-06 23:00:00',200,NULL,'2024-04-03 12:25:02.677375'
15,15,'session_token_15','device_id_15','2024-03-06 22:00:00','2024-03-07 00:00:00',7200,'192.168.0.15','Safari/13.0',"'São Paulo, Brazil'",true,true,false,'2024-03-07 00:00:00',180,NULL,'2024-04-03 12:25:02.677375'
16,16,'session_token_16','device_id_16','2024-03-06 23:00:00','2024-03-07 01:00:00',7200,'192.168.0.16','Firefox/74.0',"'Mumbai, India'",true,true,false,'2024-03-07 01:00:00',220,NULL,'2024-04-03 12:25:02.677375'
17,17,'session_token_17','device_id_17','2024-03-07 00:00:00','2024-03-07 02:00:00',7200,'192.168.0.17','Opera/67.0',"'Shanghai, China'",true,true,false,'2024-03-07 02:00:00',250,NULL,'2024-04-03 12:25:02.677375'
18,18,'session_token_18','device_id_18','2024-03-07 01:00:00','2024-03-07 03:00:00',7200,'192.168.0.18','Edge/80.0',"'Istanbul, Turkey'",true,true,false,'2024-03-07 03:00:00',180,NULL,'2024-04-03 12:25:02.677375'
19,19,'session_token_19','device_id_19','2024-03-07 02:00:00','2024-03-07 04:00:00',7200,'192.168.0.19','Mozilla/5.0',"'Paris, France'",true,true,false,'2024-03-07 04:00:00',230,NULL,'2024-04-03 12:25:02.677375'
20,20,'session_token_20','device_id_20','2024-03-07 03:00:00','2024-03-07 05:00:00',7200,'192.168.0.20','Chrome/80.0',"'Berlin, Germany'",true,true,false,'2024-03-07 05:00:00',200,NULL,'2024-04-03 12:25:02.677375'
