1,1,2,NULL,NULL,'2024-04-03 12:25:02.677375','User was spamming',true,'full',NULL,NULL,NULL,NULL,NULL,NULL,'web',"'{""key1"": ""value1""}'"
2,2,3,NULL,NULL,'2024-04-03 12:25:02.677375','User was abusive',true,'partial',NULL,NULL,NULL,NULL,NULL,NULL,'mobile',"'{""key2"": ""value2""}'"
3,3,4,NULL,NULL,'2024-04-03 12:25:02.677375','User was harassing',true,'full',NULL,NULL,NULL,NULL,NULL,NULL,'web',"'{""key3"": ""value3""}'"
4,4,5,NULL,NULL,'2024-04-03 12:25:02.677375','User was inappropriate',true,'full',NULL,NULL,NULL,NULL,NULL,NULL,'mobile',"'{""key4"": ""value4""}'"
5,5,6,NULL,NULL,'2024-04-03 12:25:02.677375','User was violating community guidelines',true,'full',NULL,NULL,NULL,NULL,NULL,NULL,'web',"'{""key5"": ""value5""}'"
6,6,7,NULL,NULL,'2024-04-03 12:25:02.677375','User was spamming',true,'full',NULL,NULL,NULL,NULL,NULL,NULL,'mobile',"'{""key6"": ""value6""}'"
7,7,8,NULL,NULL,'2024-04-03 12:25:02.677375','User was abusive',true,'partial',NULL,NULL,NULL,NULL,NULL,NULL,'web',"'{""key7"": ""value7""}'"
8,8,9,NULL,NULL,'2024-04-03 12:25:02.677375','User was harassing',true,'full',NULL,NULL,NULL,NULL,NULL,NULL,'mobile',"'{""key8"": ""value8""}'"
9,9,10,NULL,NULL,'2024-04-03 12:25:02.677375','User was inappropriate',true,'full',NULL,NULL,NULL,NULL,NULL,NULL,'web',"'{""key9"": ""value9""}'"
10,10,11,NULL,NULL,'2024-04-03 12:25:02.677375','User was violating community guidelines',true,'full',NULL,NULL,NULL,NULL,NULL,NULL,'mobile',"'{""key10"": ""value10""}'"
11,11,12,NULL,NULL,'2024-04-03 12:25:02.677375','User was spamming',true,'full',NULL,NULL,NULL,NULL,NULL,NULL,'web',"'{""key11"": ""value11""}'"
12,12,13,NULL,NULL,'2024-04-03 12:25:02.677375','User was abusive',true,'partial',NULL,NULL,NULL,NULL,NULL,NULL,'mobile',"'{""key12"": ""value12""}'"
13,13,14,NULL,NULL,'2024-04-03 12:25:02.677375','User was harassing',true,'full',NULL,NULL,NULL,NULL,NULL,NULL,'web',"'{""key13"": ""value13""}'"
14,14,15,NULL,NULL,'2024-04-03 12:25:02.677375','User was inappropriate',true,'full',NULL,NULL,NULL,NULL,NULL,NULL,'mobile',"'{""key14"": ""value14""}'"
15,15,16,NULL,NULL,'2024-04-03 12:25:02.677375','User was violating community guidelines',true,'full',NULL,NULL,NULL,NULL,NULL,NULL,'web',"'{""key15"": ""value15""}'"
16,16,17,NULL,NULL,'2024-04-03 12:25:02.677375','User was spamming',true,'full',NULL,NULL,NULL,NULL,NULL,NULL,'mobile',"'{""key16"": ""value16""}'"
17,17,18,NULL,NULL,'2024-04-03 12:25:02.677375','User was abusive',true,'partial',NULL,NULL,NULL,NULL,NULL,NULL,'web',"'{""key17"": ""value17""}'"
18,18,19,NULL,NULL,'2024-04-03 12:25:02.677375','User was harassing',true,'full',NULL,NULL,NULL,NULL,NULL,NULL,'mobile',"'{""key18"": ""value18""}'"
19,19,20,NULL,NULL,'2024-04-03 12:25:02.677375','User was inappropriate',true,'full',NULL,NULL,NULL,NULL,NULL,NULL,'web',"'{""key19"": ""value19""}'"
20,20,1,NULL,NULL,'2024-04-03 12:25:02.677375','User was violating community guidelines',true,'full',NULL,NULL,NULL,NULL,NULL,NULL,'mobile',"'{""key20"": ""value20""}'"
