1,1,100,150,50,60,80,90,20,30,40,10,15,5,8,2,3,'2024-03-05 12:30:00'
2,2,80,120,40,45,70,80,15,25,35,8,12,3,6,1,2,'2024-03-05 11:45:00'
3,3,150,200,70,80,100,110,30,50,60,20,25,7,10,4,5,'2024-03-05 13:15:00'
4,4,120,180,60,70,90,100,25,40,50,15,20,6,9,3,4,'2024-03-05 14:00:00'
5,5,90,140,45,55,75,85,18,35,45,12,18,4,7,2,3,'2024-03-05 10:30:00'
6,6,110,160,55,65,85,95,22,38,48,14,22,5,8,3,4,'2024-03-05 09:45:00'
7,7,130,190,65,75,95,105,28,45,55,18,28,7,11,4,5,'2024-03-05 11:00:00'
8,8,100,150,50,60,80,90,20,30,40,10,15,5,8,2,3,'2024-03-05 12:30:00'
9,9,80,120,40,45,70,80,15,25,35,8,12,3,6,1,2,'2024-03-05 11:45:00'
10,10,150,200,70,80,100,110,30,50,60,20,25,7,10,4,5,'2024-03-05 13:15:00'
11,11,120,180,60,70,90,100,25,40,50,15,20,6,9,3,4,'2024-03-05 14:00:00'
12,12,90,140,45,55,75,85,18,35,45,12,18,4,7,2,3,'2024-03-05 10:30:00'
13,13,110,160,55,65,85,95,22,38,48,14,22,5,8,3,4,'2024-03-05 09:45:00'
14,14,130,190,65,75,95,105,28,45,55,18,28,7,11,4,5,'2024-03-05 11:00:00'
15,15,100,150,50,60,80,90,20,30,40,10,15,5,8,2,3,'2024-03-05 12:30:00'
16,16,80,120,40,45,70,80,15,25,35,8,12,3,6,1,2,'2024-03-05 11:45:00'
17,17,150,200,70,80,100,110,30,50,60,20,25,7,10,4,5,'2024-03-05 13:15:00'
18,18,120,180,60,70,90,100,25,40,50,15,20,6,9,3,4,'2024-03-05 14:00:00'
19,19,90,140,45,55,75,85,18,35,45,12,18,4,7,2,3,'2024-03-05 10:30:00'
20,20,110,160,55,65,85,95,22,38,48,14,22,5,8,3,4,'2024-03-05 09:45:00'
