5458591,1,10000.00,'2024-01-01',1000.00,'2024-04-03 12:35:26.424514'
5458592,2,15000.00,'2024-01-02',2000.00,'2024-04-03 12:35:26.424514'
5458593,3,20000.00,'2024-01-03',3000.00,'2024-04-03 12:35:26.424514'
5458594,4,25000.00,'2024-01-04',4000.00,'2024-04-03 12:35:26.424514'
5458595,5,30000.00,'2024-01-05',5000.00,'2024-04-03 12:35:26.424514'
5458596,6,35000.00,'2024-01-06',6000.00,'2024-04-03 12:35:26.424514'
5458597,7,40000.00,'2024-01-07',7000.00,'2024-04-03 12:35:26.424514'
5458598,8,45000.00,'2024-01-08',8000.00,'2024-04-03 12:35:26.424514'
5458599,9,50000.00,'2024-01-09',9000.00,'2024-04-03 12:35:26.424514'
5458600,10,55000.00,'2024-01-10',10000.00,'2024-04-03 12:35:26.424514'
5458601,11,60000.00,'2024-01-11',11000.00,'2024-04-03 12:35:26.424514'
5458602,12,65000.00,'2024-01-12',12000.00,'2024-04-03 12:35:26.424514'
5458603,13,70000.00,'2024-01-13',13000.00,'2024-04-03 12:35:26.424514'
5458604,14,75000.00,'2024-01-14',14000.00,'2024-04-03 12:35:26.424514'
5458605,15,80000.00,'2024-01-15',15000.00,'2024-04-03 12:35:26.424514'
5458606,16,85000.00,'2024-01-16',16000.00,'2024-04-03 12:35:26.424514'
5458607,17,90000.00,'2024-01-17',17000.00,'2024-04-03 12:35:26.424514'
5458608,18,95000.00,'2024-01-18',18000.00,'2024-04-03 12:35:26.424514'
5458609,19,100000.00,'2024-01-19',19000.00,'2024-04-03 12:35:26.424514'
5458610,20,105000.00,'2024-01-20',20000.00,'2024-04-03 12:35:26.424514'
