25582,'Housing Allowance','Allowance provided to cover housing expenses for employees.'
25583,'Transport Allowance','Allowance provided to cover transportation expenses for employees.'
25584,'Meal Allowance','Allowance provided to cover meal expenses for employees.'
25585,'Phone Allowance','Allowance provided to cover phone expenses for employees.'
25586,'Internet Allowance','Allowance provided to cover internet expenses for employees.'
25587,'Healthcare Allowance','Allowance provided to cover healthcare expenses for employees.'
25588,'Childcare Allowance','Allowance provided to cover childcare expenses for employees.'
25589,'Education Allowance','Allowance provided to cover education expenses for employees.'
25590,'Travel Allowance','Allowance provided to cover travel expenses for employees.'
25591,'Other Allowance','Allowance provided for other miscellaneous expenses for employees.'
25592,'Pet Allowance','Allowance provided to cover pet-related expenses for employees.'
25593,'Fitness Allowance','Allowance provided to cover fitness-related expenses for employees.'
25594,'Uniform Allowance','Allowance provided to cover uniform expenses for employees.'
25595,'Entertainment Allowance','Allowance provided to cover entertainment expenses for employees.'
25596,'Wellness Allowance','Allowance provided to cover wellness-related expenses for employees.'
25597,'Professional Development Allowance','Allowance provided to cover professional development expenses for employees.'
25598,'Relocation Allowance','Allowance provided to cover relocation expenses for employees.'
25599,'Bonus Allowance','Allowance provided as a bonus for employees.'
25600,'Remote Work Allowance','Allowance provided to support remote work setup for employees.'
25601,'Equipment Allowance','Allowance provided to cover equipment expenses for employees.'
