1,3536251,'AWS Certified Solutions Architect','Amazon Web Services','2020-01-15','2023-01-15'
2,3536252,'Cisco Certified Network Associate (CCNA)','Cisco','2018-07-20','2021-07-20'
3,3536253,'Project Management Professional (PMP)','Project Management Institute','2019-09-10','2022-09-10'
4,3536254,'Microsoft Certified: Azure Administrator Associate','Microsoft','2021-03-05','2024-03-05'
5,3536255,'Certified ScrumMaster (CSM)','Scrum Alliance','2017-12-10','2020-12-10'
6,3536256,'Google Analytics Individual Qualification (GAIQ)','Google','2020-02-28','2023-02-28'
7,3536257,'Certified Information Systems Security Professional (CISSP)','International Information System Security Council','2019-11-18','2022-11-18'
8,3536258,'Certified Ethical Hacker (CEH)','EC-Council','2018-05-20','2021-05-20'
9,3536259,'ITIL Foundation Certification','Axelos','2020-08-15','2023-08-15'
10,3536260,'Certified Kubernetes Administrator (CKA)','Cloud Native Computing Foundation','2021-01-30','2024-01-30'
11,3536251,'Certified Information Security Manager (CISM)','ISACA','2018-10-05','2021-10-05'
12,3536252,'Certified Data Scientist (CDS)','Data Science Council of America','2019-06-15','2022-06-15'
13,3536253,'Certified Cloud Security Professional (CCSP)','ISC²','2020-04-20','2023-04-20'
14,3536254,'Certified DevOps Engineer','Amazon Web Services','2017-11-30','2020-11-30'
15,3536255,'Certified Information Systems Auditor (CISA)','ISACA','2019-03-10','2022-03-10'
16,3536256,'Certified Six Sigma Black Belt (CSSBB)','American Society for Quality','2020-05-25','2023-05-25'
17,3536257,'Certified Business Analysis Professional (CBAP)','International Institute of Business Analysis','2018-08-12','2021-08-12'
18,3536258,'Certified Blockchain Professional (CBP)','Blockchain Council','2021-02-18','2024-02-18'
19,3536259,'Certified Information Privacy Professional (CIPP)','International Association of Privacy Professionals','2018-09-28','2021-09-28'
20,3536260,'Certified Hadoop Developer','Cloudera','2019-07-05','2022-07-05'
