3536251,1,'2022-01-01','2022-12-31'
3536252,2,'2022-02-01','2022-12-31'
3536253,3,'2022-03-01','2022-12-31'
3536254,4,'2022-04-01','2022-12-31'
3536255,5,'2022-05-01','2022-12-31'
3536256,6,'2022-06-01','2022-12-31'
3536257,7,'2022-07-01','2022-12-31'
3536258,8,'2022-08-01','2022-12-31'
3536259,9,'2022-09-01','2022-12-31'
3536260,10,'2022-10-01','2022-12-31'
3536261,11,'2022-11-01','2022-12-31'
3536262,12,'2022-12-01','2022-12-31'
3536263,13,'2022-01-15','2022-12-31'
3536264,14,'2022-02-15','2022-12-31'
3536265,15,'2022-03-15','2022-12-31'
3536266,16,'2022-04-15','2022-12-31'
3536267,17,'2022-05-15','2022-12-31'
3536268,18,'2022-06-15','2022-12-31'
3536269,19,'2022-07-15','2022-12-31'
3536270,20,'2022-08-15','2022-12-31'
