1,'Software Engineer','Responsible for developing and maintaining software applications.',"'{""SQL"": ""Intermediate"", ""Java"": ""Advanced"", ""Python"": ""Intermediate""}'","'{""React"": ""Intermediate"", ""JavaScript"": ""Advanced""}'",60000.00,90000.00,5,'Design code test debug and document software according to the functional requirements.',"'{""benefits"": ""401(k) matching""}'","'{""Edu_req"": ""Bachelors degree in Computer Science or related field""}'","'{""Exp_req"": ""Minimum 3 years of experience in software development""}'",'Full-time','Remote',5,'Active'
2,'Marketing Manager','Responsible for developing and implementing marketing strategies.',"'{""SEO"": ""Intermediate"", ""Digital Marketing"": ""Advanced"", ""Social Media Marketing"": ""Intermediate""}'","'{""Email Marketing"": ""Intermediate"", ""Content Marketing"": ""Advanced""}'",70000.00,100000.00,2,'Develop marketing campaigns manage social media channels analyze campaign performance.',"'{""benefits"": ""Paid time off""}'","'{""Edu_req"": ""Bachelors degree in Marketing or related field""}'","'{""Exp_req"": ""Minimum 5 years of experience in marketing""}'",'Full-time','New York City',2,'Active'
3,'Financial Analyst','Responsible for analyzing financial data and providing financial insights.',"'{""Excel"": ""Intermediate"", ""Financial Analysis"": ""Advanced"", ""Financial Modeling"": ""Intermediate""}'","'{""CFA"": ""Preferred"", ""CPA"": ""Preferred""}'",60000.00,90000.00,3,'Conduct financial analysis prepare financial reports assist in budgeting and forecasting.',"'{""benefits"": ""401(k) matching""}'","'{""Edu_req"": ""Bachelors degree in Finance or related field""}'","'{""Exp_req"": ""Minimum 2 years of experience in finance""}'",'Full-time','Chicago',3,'Active'
4,'Sales Representative','Responsible for selling products or services to customers.',"'{""Sales"": ""Advanced"", ""Negotiation"": ""Intermediate"", ""Communication"": ""Intermediate""}'","'{""Salesforce"": ""Preferred"", ""CRM software"": ""Preferred""}'",50000.00,80000.00,4,'Identify and generate leads maintain relationships with clients negotiate contracts.',"'{""benefits"": ""Health insurance""}'","'{""Edu_req"": ""High school diploma or equivalent""}'","'{""Exp_req"": ""Minimum 1 year of sales experience""}'",'Full-time','Los Angeles',4,'Active'
5,'HR Specialist','Responsible for handling various HR functions.',"'{""HRIS"": ""Intermediate"", ""Recruitment"": ""Intermediate"", ""Employee Relations"": ""Advanced""}'","'{""PHR"": ""Preferred"", ""SHRM-CP"": ""Preferred""}'",55000.00,85000.00,1,'Assist in recruitment process handle employee relations issues maintain HRIS data.',"'{""benefits"": ""Paid time off""}'","'{""Edu_req"": ""Bachelors degree in Human Resources or related field""}'","'{""Exp_req"": ""Minimum 2 years of experience in HR""}'",'Full-time','Houston',3,'Active'
6,'Graphic Designer','Responsible for creating visual concepts and designs.',"'{""InDesign"": ""Intermediate"", ""Illustrator"": ""Intermediate"", ""Adobe Photoshop"": ""Advanced""}'","'{""Web Design"": ""Preferred"", ""UI/UX Design"": ""Preferred""}'",45000.00,70000.00,2,'Create visual concepts design marketing materials collaborate with marketing team.',"'{""benefits"": ""Flexible schedule""}'","'{""Edu_req"": ""Bachelors degree in Graphic Design or related field""}'","'{""Exp_req"": ""Minimum 1 year of experience in graphic design""}'",'Full-time','San Francisco',2,'Active'
7,'Accountant','Responsible for preparing and analyzing financial records.',"'{""Excel"": ""Intermediate"", ""Taxation"": ""Intermediate"", ""Accounting"": ""Advanced""}'","'{""CPA"": ""Preferred"", ""QuickBooks"": ""Preferred""}'",55000.00,85000.00,3,'Prepare financial statements analyze financial data assist in tax preparation.',"'{""benefits"": ""401(k) matching""}'","'{""Edu_req"": ""Bachelors degree in Accounting or related field""}'","'{""Exp_req"": ""Minimum 2 years of experience in accounting""}'",'Full-time','Boston',4,'Active'
8,'Customer Service Representative','Responsible for providing excellent...',"'{""Communication"": ""Advanced"", ""Problem Solving"": ""Intermediate"", ""Customer Service"": ""Intermediate""}'","'{""Zendesk"": ""Preferred"", ""CRM software"": ""Preferred""}'",40000.00,65000.00,1,'Respond to customer inquiries resolve issues via phone email or chat.',"'{""benefits"": ""Paid time off""}'","'{""Edu_req"": ""High school diploma or equivalent""}'","'{""Exp_req"": ""Minimum 1 year of customer service experience""}'",'Full-time','Remote',3,'Active'
9,'Data Analyst','Responsible for analyzing data to provide insights and support decision-making.',"'{""SQL"": ""Advanced"", ""Excel"": ""Intermediate"", ""Statistics"": ""Intermediate""}'","'{""R"": ""Intermediate"", ""Python"": ""Advanced""}'",60000.00,90000.00,5,'Analyze data from various sources generate reports interpret trends.',"'{""benefits"": ""401(k) matching""}'","'{""Edu_req"": ""Bachelors degree in Mathematics Statistics Economics Computer Science or related field""}'","'{""Exp_req"": ""Minimum 2 years of experience in data analysis""}'",'Full-time','Chicago',2,'Active'
10,'Project Manager','Responsible for planning coordinating and overseeing projects.',"'{""Leadership"": ""Intermediate"", ""Communication"": ""Intermediate"", ""Project Management"": ""Advanced""}'","'{""PMP"": ""Preferred"", ""Agile"": ""Preferred""}'",70000.00,110000.00,5,'Plan and execute projects monitor progress and ensure timely delivery.',"'{""benefits"": ""401(k) matching""}'","'{""Edu_req"": ""Bachelors degree in Project Management Business Administration or related field""}'","'{""Exp_req"": ""Minimum 3 years of experience in project management""}'",'Full-time','New York City',2,'Active'
11,'Quality Assurance Analyst','Responsible for ensuring the quality of software products.',"'{""Testing"": ""Advanced"", ""Bug Tracking"": ""Intermediate"", ""Test Automation"": ""Intermediate""}'","'{""JIRA"": ""Preferred"", ""Selenium"": ""Preferred""}'",50000.00,80000.00,5,'Create test plans execute test cases identify and report defects.',"'{""benefits"": ""401(k) matching""}'","'{""Edu_req"": ""Bachelors degree in Computer Science or related field""}'","'{""Exp_req"": ""Minimum 2 years of experience in software testing""}'",'Full-time','Remote',3,'Active'
