1,3536251,3536254,'2023-05-15',4.50,'Consistently exceeds expectations.'
2,3536252,3536255,'2023-06-20',4.20,'Shows improvement in communication skills.'
3,3536253,3536255,'2023-07-25',3.80,'Needs to work on time management.'
4,3536254,3536251,'2023-08-18',4.00,'Demonstrates strong problem-solving abilities.'
5,3536255,3536263,'2023-09-22',4.60,'Exceptional performance in project delivery.'
6,3536256,3536251,'2023-10-17',4.30,'Excellent teamwork and collaboration skills.'
7,3536257,3536263,'2023-11-19',3.90,'Requires more attention to detail.'
8,3536258,3536257,'2023-12-21',4.10,'Adapts well to changing priorities.'
9,3536259,3536257,'2024-01-25',4.40,'Consistently meets project deadlines.'
10,3536260,3536263,'2024-02-28',4.50,'Effective communication with clients.'
11,3536261,3536251,'2024-03-31',4.20,'Works well under pressure.'
12,3536262,3536265,'2024-04-25',4.30,'Strong leadership skills.'
13,3536263,3536265,'2024-05-29',3.80,'Needs improvement in conflict resolution.'
14,3536264,3536265,'2024-06-30',4.00,'Consistently delivers high-quality work.'
15,3536265,3536257,'2024-07-31',4.60,'Exceeds expectations in all key performance areas.'
16,3536266,3536270,'2024-08-25',4.40,'Excellent problem-solving skills.'
17,3536267,3536251,'2024-09-29',3.90,'Requires more initiative in taking on new tasks.'
18,3536268,3536270,'2024-10-30',4.10,'Strong attention to detail.'
19,3536269,3536251,'2024-11-25',4.30,'Demonstrates leadership potential.'
20,3536270,3536266,'2024-12-31',4.50,'Outstanding performance overall.'
